date,text,likes,retweets
2025-11-08 23:55:31+00:00,".@tmobile just launched a credit card that turns every purchase into T-Mobile Rewards that cardholders can use toward new phones, accessories and even their T-Mobile bill 💪
 
#TeamMagenta https://t.co/DhPazwkA9O",0,0
2025-11-08 23:55:30+00:00,".@tmobile just launched a credit card that turns every purchase into T-Mobile Rewards that cardholders can use toward new phones, accessories and even their T-Mobile bill 💪
 
#TeamMagenta https://t.co/mqOd3ttqKg",0,0
2025-11-08 23:54:18+00:00,@TMobile Now this tech support guy is trying to argue against giving me a credit. This is not the day to piss me off,0,0
2025-11-08 23:50:48+00:00,When tf KC gone get a basketball team!!??? @KansasCity We got too much talent and the T-Mobile Center. No excuses.,0,0
2025-11-08 23:49:31+00:00,"@Patriotmom717 I recommend Home Internet by TMobile. Awesome speeds, cheaper than Spectrum. Five year guaranteed rate. And they seem to be nice people.

(no, I don’t work for them)",3,0
2025-11-08 23:49:08+00:00,MY HUSBAND NOT THE T-MOBILE MAN 🤣,0,0
2025-11-08 23:44:23+00:00,@riv2rp4ge @TAT1SSZN That’s because T-Mobile doesn’t get full compared to dodgers,0,0
2025-11-08 23:44:07+00:00,"@JasonBollman @TMobile We’re here to make sure you get the support you need with your order status and to refine your experience, Jason. Please DM us your order number so we can look into it and move forward with a full resolution together. Thanks. ^PatrickUllmann",0,0
2025-11-08 23:42:19+00:00,@R_S__Page @TMobile Hello. We’re here to make sure you get the help you need with your switch-over and promotions. Please send us a DM with your order number and the amount so we can review and move forward with a full resolution together. ^PatrickUllmann,0,0
2025-11-08 23:41:18+00:00,"@B1TuckerCarlson To ask for a job cause he in Virginia Richmond, Virginia we got plenty of big-time jobs plenty from Dupont to Westrock to Paper Mill to the water bottle and company, which is paying up to almost $30 an hour. We got plenty of construction jobs. We got T-Mobile.",0,0
2025-11-08 23:36:41+00:00,"Terrible CX @TMobile . Visited the T-Mobile booth at my local Costco. I was hoping to take advantage of the membership perks. After 2 weeks of waiting for 3 new phones to be shipped, nothing! Never could get a straight answer or a credible order status. Order canceled.",0,0
2025-11-08 23:36:30+00:00,"Trying to leave T-Mobile, what phone companies do u guys recommend",4,0
2025-11-08 23:36:17+00:00,@TMobile can someone in your company PLEASE sort out my account.  You are the absolute worst company I’ve dealt with to date.  I switched from ATT and you lied to me about my promotions.  I have been trying to sort my monthly payment since May. #tmobile #badcompany #cellphone,0,0
2025-11-08 23:35:34+00:00,"@CocoRenee89 @TMobile Hi, Renee. We’re here to make sure you get the support you need with your bill and to review what happened so there’s no need to look elsewhere. Please DM us the date the change occurred so we can take a closer look and move forward with a full solution together. ^PatrickUllmann",0,0
2025-11-08 23:33:22+00:00,@heelEmmaMara @Seahawks @PatMcAfeeShow @TMobile We'll see how it goes 😁,0,0
2025-11-08 23:33:08+00:00,@zephrinTemplar @TMobile Hello. We’re here to make sure you get the support you need with your cancelled account and to review the charges on your credit card. Please DM us your account number so we can look into it and move forward with a full resolution together. ^PatrickUllmann,0,0
2025-11-08 23:32:28+00:00,@RedInTheSun89 @Seahawks @PatMcAfeeShow @TMobile JSN and Rashid Shaheed both got to force def pass interference penalties on flags thrown to the Cardinals on tough passing plays,1,0
2025-11-08 23:32:13+00:00,"@ALiaS_FiLTh @Patriotmom717 Yes, 70 Mbps download is decent for HD streaming and basic multi-device use, but below the 2025 US average of ~214 Mbps—gigabit (1000 Mbps) is now common for ""fast."" $50/mo for T-Mobile is a good value if signal is strong; it's unlimited with no contracts, vs Spectrum's $50 for",0,0
2025-11-08 23:31:57+00:00,I’m bout to leave @TMobile my bill keeps going up every month for no reason!! Ain’t no way in hell the taxes keep changing that much every month!!,0,0
2025-11-08 23:30:09+00:00,"@TMobile why do you promise me domestic roaming, but then not allow it?  I have access to a great ATT network and t mobile won't connect, but it seems my tmobile phone won't allow me to connect to, roam on ATT.",0,0
2025-11-08 23:28:54+00:00,"Got completely dehumanized at tmobile yesterday . They called me an ""upgrade"" like wtf I have a name",0,0
2025-11-08 23:28:49+00:00,@TMobile is committing credit card fraud we canceled service last month we did the do today charge our card for another month,0,0
2025-11-08 23:22:47+00:00,@TrueBeachLover @TMobile My main page is next-level fun 🚀🔥 @TheKaraCapri https://t.co/DnYE2lPQ7T,0,0
2025-11-08 23:22:12+00:00,"@Patriotmom717 Spectrum is trash. Try T-Mobile Home Internet. 50$ flat a month, reliable service, faster than cable, basically unlimited wireless, there is a limit but it's like 20TB you'd have to be abusing it to hit it. We never looked back at shitty spectrum. It's so easy to install it too.",1,0
2025-11-08 23:18:14+00:00,"@heelEmmaMara @Seahawks @PatMcAfeeShow @TMobile We shall see 😁 we just got Rashid Shaheed from the Saints, another threat like JSN. I went to the Hawks Vs Cards Game a couple years ago in Seattle awesome experience",1,0
2025-11-08 23:17:14+00:00,@TAT1SSZN traffic has to be hell getting out of there right? one of my favorite things about t-mobile is how easy it is to drive out,1,0
2025-11-08 23:17:01+00:00,@bizzleosikoya What kind of plan are you on because my TMobile bill higher than a mf every month,0,0
2025-11-08 23:13:39+00:00,".@tmobile just launched a credit card that turns every purchase into T-Mobile Rewards that cardholders can use toward new phones, accessories and even their T-Mobile bill 💪
 
#TeamMagenta https://t.co/SSs4fyFfef",0,0
2025-11-08 23:11:44+00:00,"@madbaldscotsman They have been priming it with T-Mobile commercials, I figured it was coming back!",1,0
2025-11-08 23:08:01+00:00,@RedInTheSun89 @Seahawks @PatMcAfeeShow @TMobile We will see how they play tomorrow ref Alan Eck is difference maker if Seahawks struggle,1,0
2025-11-08 22:54:23+00:00,"Please don't DM me unless you're @LandrysInc, @TMobile, @HP, or @StubHub   - all companies I'm awaiting replies from https://t.co/JWP23Dbkls",2,0
2025-11-08 22:51:28+00:00,I actually love T-Mobile😭,0,0
2025-11-08 22:50:26+00:00,@Seahawks @PatMcAfeeShow @TMobile They might not be very good if lose to Arizona Cardinals tomorrow. Hoping Alan Eck assigned ref is not against Seahawks as they better play mistake free force turnovers and penalty flags to win.,0,0
2025-11-08 22:48:18+00:00,"I was touching grass when I saw I was auto-connected to Helium.

@0xMert_ when did you partner with T-Mobile?

Bullish on Solana",6,0
2025-11-08 22:45:43+00:00,@TMobile you're help hotline and insane verification that demands too much personal information has  pissed me off so completely im going to drop you,0,0
2025-11-08 22:42:58+00:00,"Experian reports data breach affecting personal information including social security numbers of about 15M T-Mobile customers (Reem Nasr/CNBC)

🔗 https://t.co/PasEhhNukk

#TheKingsArk 👑👉 https://t.co/9COv2YgS38 #AI #News #Trade #media #Tech https://t.co/phK8JH4iVW",2,2
2025-11-08 22:40:54+00:00,@JoeVeyera Can we park at T-Mobile garage?  @Mariners,0,0
2025-11-08 22:36:24+00:00,@BradWCAttorney @KimKardashian Do you have a video camera? I’m not sure if your T-Mobile Sidekick would be up to the task. You’re about to be rich.,0,0
2025-11-08 22:35:12+00:00,"@TMobile why won't your network stay connected? And why can I roam on the super strong ATT network while your network is down?  I'm pretty sure I was promised unlimited domestic roaming when I signed up.
Buyer's remorse has set in.",0,0
